Código,Producto,P. Costo,P. Venta,P. Mayoreo,Existencia,Inv. Mínimo,Inv. Máximo,Departamento
7.50E+12,LLAVE AJUSTABLE PROFESIONAL 8 EXPERT TRUPER,$149.00,$195.00,$191.00,6,3,6,- Sin Departamento -
940,LLAVE ALLEN 8PZAS 1453 LION TOOLS CHOLU,$11.61,$20.00,$16.00,2,1,3,HERRAMIENTAS
7.50E+12,LLAVE ALLEN SANTUL ESTANDAR H79 ST7135,$16.94,$30.00,$25.00,2,1,3,HERRAMIENTAS
EKON12,LLAVE ANGULAR 1/2 X 1/2 C/ROSCA EKON H79 214192,$35.06,$60.00,$55.00,2,2,6,PLOMERIA
7.50E+12,LLAVE ANGULAR BARRIL ONSUN OS1,$44.00,$60.00,$55.00,10,2,6,PLOMERIA
7.51E+12,LLAVE ANGULAR DOBLE SALIDA 1/2 MULTIVUELTA ROSCABLE FOSET 47478,$65.00,$90.00,$85.00,6,2,6,PLOMERIA
7.50E+12,LLAVE ANGULAR ROSCABLE ONSUN OS2,$42.00,$56.00,$52.00,6,2,4,PLOMERIA
7.50E+12,LLAVE BANDA METALICA 3-1/4 A 3-3/4 P/FILTRO DE ACEITE TRUPER 14518,$89.00,$120.00,$117.00,6,2,6,AUTOS
7.50E+12,LLAVE COMBINA 9/16 X 180 MM PRETUL,$27.00,$36.00,$33.00,12,6,12,HERRAMIENTAS
7.50E+12,LLAVE COMBINA MM 10 x 140 MM PRETUL,$19.00,$25.00,$21.00,12,4,12,- Sin Departamento -
7.50E+12,LLAVE COMBINA MM 8 x 120 MM PRETUL,$18.00,$24.00,$21.00,12,4,12,- Sin Departamento -
7.50E+12,LLAVE COMBINADA 1/2 X 170 MM PRETUL,$23.00,$30.00,$27.00,12,6,12,HERRAMIENTAS
7.50E+12,LLAVE COMBINADA 7/16 X 150MM PRETUL,$22.00,$29.00,$27.00,11,4,12,HERRAMIENTAS
7.50E+12,LLAVE COMBINADA EXTRA LARGA 1/2 X 202 TRUPER,$65.00,$85.00,$80.00,6,2,6,HERRAMIENTAS
7.50E+12,LLAVE COMBINADA EXTRA LARGA 10 X 164 TRUPER,$49.00,$64.00,$60.00,6,2,6,HERRAMIENTAS
7.50E+12,LLAVE COMBINADA EXTRA LARGA 13 X 202 TRUPER,$65.00,$85.00,$80.00,6,2,6,HERRAMIENTAS
7.50E+12,LLAVE COMBINADA EXTRA LARGA 7/16 X 183 TRUPER,$55.00,$72.00,$70.00,6,2,6,HERRAMIENTAS
7.50E+12,LLAVE COMBINADA EXTRA LARGA 9/16 X 220 TRUPER,$69.00,$90.00,$85.00,6,2,6,HERRAMIENTAS
7.50E+12,LLAVE COMBINADA EXTRALARGA 8x145 M TRUPER,$45.00,$60.00,$58.00,6,2,6,HERRAMIENTAS
7.50E+12,LLAVE COMBINADA MM 13x170MM PRETUL,$23.00,$30.00,$27.00,11,6,12,HERRAMIENTAS
7.50E+12,LLAVE COMBINADA STD 1/2 SANELEC CYL 2110151,$19.88,$27.00,$25.00,12,5,12,HERRAMIENTAS
7.50E+12,LLAVE COMBINADA STD 3/8 SANELEC CYL 2110162,$17.65,$24.00,$22.00,12,5,12,HERRAMIENTAS
7.50E+12,LLAVE DE BANDA MENTALICA 2 1/2 A 3 1/4 PARA FILTRO DE ACEITE TRUPER 14515,$85.00,$112.00,$110.00,6,2,6,AUTOS
7.51E+12,LLAVE DE CRUZ NO.18 HIGHPOWER,$85.00,$120.00,$110.00,3,1,3,AUTOS
884,LLAVE DE CRUZ NO.18 LION,$106.60,$150.00,$145.00,3,1,3,AUTOS
7.50E+12,LLAVE DE ESFERA 1/2 DE ZINC PRETUL,$37.00,$49.00,$47.00,11,5,12,PLOMERIA
7.51E+12,LLAVE DE ESFERA DOBLE SALIDA 1/2 DE LATON FOSET 48060,$125.00,$180.00,$175.00,6,1,6,PLOMERIA
SP.70046,LLAVE DE NARIZ TIPO MARIPOSA SOLVEX SP-70046,$50.60,$68.00,$64.00,5,2,5,PLOMERIA
7.50E+12,LLAVE GLOBO ROSCABLE 3/4 PULG AGUA 4065.19 DIPLO,$88.42,$125.00,$120.00,2,1,3,PLOMERIA
9.00E+11,LLAVE HEGA LARGA 5/32 CN 129220035,$9.59,$14.00,$13.00,10,5,10,TORNILLOS
9.00E+12,LLAVE HEXA CORTA 1/8 CN 129200025,$4.95,$8.00,$7.00,10,5,10,TORNILLOS
9.00E+11,LLAVE HEXA CORTA 3/16 CN 129200040,$7.42,$12.00,$10.00,9,5,10,TORNILLOS
9.00E+12,LLAVE HEXA CORTA 5/32 CN 129200035,$6.59,$10.00,$9.00,10,5,10,TORNILLOS
9.00E+11,LLAVE HEXA CORTA 9/64 CN 129200030,$6.29,$10.00,$9.00,10,5,10,TORNILLOS
9.00E+11,LLAVE HEXA CORTA METRICA 3.5MM CN 129210021,$3.26,$6.00,$5.00,10,5,10,TORNILLOS
9.00E+11,LLAVE HEXA CORTA METRICA 3MM CN 129210020,$5.47,$10.00,$8.00,10,5,10,TORNILLOS
9.00E+12,LLAVE HEXA CORTA METRICA 5MM CN 129210030,$8.45,$15.00,$13.00,9,5,10,TORNILLOS
9.00E+11,LLAVE HEXA LARGA 1/8 CN 129220025,$9.27,$14.00,$13.00,10,5,10,TORNILLOS
9.00E+11,LLAVE HEXA LARGA 9/64 CN 129220030,$9.48,$14.00,$13.00,10,5,10,TORNILLOS
7.19E+12,LLAVE INDIVIDUAL P/LAVABO 2PZAS SOFO SF-10001,$128.00,$185.00,$180.00,3,2,4,PLOMERIA
8507,LLAVE INDIVIDUAL P/LAVABO ONSUN 8507 GYM,$113.00,$165.00,$160.00,3,2,4,PLOMERIA
P-LL112,LLAVE INDIVIDUAL PARA LAVABO P-LL112,$127.00,$166.00,$162.00,1,1,1,PLOMERIA
7.50E+12,LLAVE MIXTA 1 PULG STD SANTUL H79,$32.65,$55.00,$50.00,2,1,2,HERRAMIENTAS
7.50E+12,LLAVE MIXTA 11/16 PULG STD SANTUL H79,$29.94,$54.00,$50.00,2,1,2,HERRAMIENTAS
7.50E+12,LLAVE MIXTA 15/16 PULG STD SANTUL H79,$53.13,$90.00,$85.00,1,1,2,HERRAMIENTAS
7.50E+12,LLAVE MIXTA 3/4 PULG STD SANTUL H79,$32.70,$55.00,$52.00,2,1,2,HERRAMIENTAS
7.50E+12,LLAVE MIXTA 5/8 PULG STD SANTUL H79,$24.69,$42.00,$38.00,2,1,2,HERRAMIENTAS
942,LLAVE MIXTA C/MATRACA 10MM LIONTOOLS 2938 CHOLU,$34.22,$52.00,$45.00,3,1,3,HERRAMIENTAS
943,LLAVE MIXTA C/MATRACA 7/16 LIONTOOLS 2932 CHOLU,$38.28,$55.00,$50.00,3,1,3,HERRAMIENTAS
941,LLAVE MIXTA C/MATRACA 8MM LIONTOOLS 2937 CHOLU,$32.48,$50.00,$45.00,3,1,3,HERRAMIENTAS
944,LLAVE MIXTA C/MATRACA 9/16 LIONTOOLS 2934 CHOLU,$45.83,$70.00,$65.00,3,1,3,HERRAMIENTAS
7.19E+12,LLAVE MONOMANDO PARA LAVABO SOFO SF-32537,$128.00,$185.00,$180.00,1,1,1,PLOMERIA
7.19E+12,LLAVE NARIZ DE TIPO ITALIANA 1/2 PULG CUERP ZING GYM,$19.00,$30.00,$28.00,4,2,4,PLOMERIA
7.50E+12,LLAVE P/BROQUERO 1/2 TRUPER,$23.00,$30.00,$29.00,6,2,6,TORNILLOS
7.50E+12,LLAVE P/BROQUERO 3/8 TRUPER,$23.00,$30.00,$29.00,5,2,6,TORNILLOS
497,LLAVE P/EMPOTRAR NACOBRE SOLDABLE C/MANERAL C-4652 PLO 1006,$397.93,$520.00,$518.00,3,2,6,PLOMERIA
7.51E+12,LLAVE P/MANGUERA 100G GRANEL PRETUL,$45.00,$60.00,$57.00,12,4,12,PLOMERIA
406,LLAVE P/MANGUERA NACOBRE LATON 1/2 PLO 972,$64.77,$86.00,$85.00,3,5,10,PLOMERIA
7.50E+12,LLAVE P/TANQUE DE GAS PRETUL 21804},$20.00,$28.00,$25.00,5,2,6,HERRAMIENTAS
7.50E+12,LLAVE PA/LAVABO TEMPORIZADORA  MEER GYM,$139.00,$202.00,$200.00,2,1,3,PLOMERIA
7.50E+12,LLAVE PARA GARRAFÓN 1/2 MEER VG13,$13.00,$18.00,$16.00,2,2,4,- Sin Departamento -
7.50E+12,LLAVE PARA JARDIN PLASTICA TIPO ITALIANA COLOR BLANCO MEER VNPL13,$16.00,$22.00,$20.00,2,1,2,PLOMERIA
7.50E+12,LLAVE REPUESTO AJUSTABLE P/ESMERIL 4-1/2 X 7 X 9 TRUPER 102999,$69.00,$95.00,$90.00,3,1,3,HERRAMIENTAS
7.50E+12,LLAVE STILSON 14 HIERRO DUCTIL TRUPER 15838,$320.00,$416.00,$414.00,3,1,3,TORNILLOS
7.50E+12,LLAVE TOOLMAN MIXTA 7/8 ANG,$72.70,$105.00,$102.00,2,1,2,HERRAMIENTAS
7.50E+12,LLAVES MIXTAS 9PZAS MILIMETRICA SANTUL H79,$193.40,$305.00,$300.00,2,1,2,HERRAMIENTAS
7.50E+12,LLAVES MIXTAS 9PZAS STD SANTUL H79,$241.45,$380.00,$370.00,2,1,2,HERRAMIENTAS
407,LLAVES P/EMPOTRAR NACOBRE ROSCABLE C/MANERAL Y CH C-4052 PLO 1004,$498.63,$650.00,$649.00,3,5,5,PLOMERIA
408,LLAVES P/EMPOTRAR NACOBRE ROSCABLE S/MANERAL C-52 PLO 1005,$302.60,$396.00,$394.00,3,5,6,PLOMERIA
409,LLAVES P/EMPOTRAR NACOBRE SOLDABLE S/MANERAL C-652 PLO,$298.71,$390.00,$389.00,2,5,5,PLOMERIA
7.91E+11,LLAVES P/EMPOTRAR PPR IUSAPLUS P/REGADERA C/MANERAL PLO 1618,$322.79,$425.00,$420.00,6,2,6,PLOMERIA
7.50E+12,LLAVES P/EMPOTRAR URREA SOLDABLE S/MANERAL 652 PLO 1022,$621.37,$810.00,$800.00,2,1,2,PLOMERIA
7.51E+12,LLAVES P/EMPOTRAR URREA SOLDABLE S/MANERAL COMP 652C PLO 3872,$446.56,$590.00,$580.00,2,1,2,PLOMERIA
79567520306,LUBRICANTE ACEITE 3 EN 1 30ML WD-40 CYL 2410149,$20.06,$30.00,$27.00,6,1,6,ACEITES Y LUBRICANTES
79567520115,LUBRICANTE AFLOJATODO 11OZ WD-40 CYL,$115.69,$155.00,$150.00,4,2,3,ACEITES Y LUBRICANTES
79567521068,LUBRICANTE AFLOJATODO 6OZ FLEXITAPA WD-40 CYL,$87.70,$115.00,$112.00,1,2,3,ACEITES Y LUBRICANTES
79567520368,LUBRICANTE DE ACEITE 3 EN 1 90ML 520365 WD-40 CYL 2410150,$30.86,$45.00,$42.00,6,1,6,ACEITES Y LUBRICANTES
7.51E+12,LUBRICANTE DE CADENA AEROSOL 400ML TRUPER,$65.00,$85.00,$84.00,4,1,4,ACEITES Y LUBRICANTES
7.51E+12,LUBRICANTE MULTIUSOS AEROSOL 235ML TRUPER,$38.00,$50.00,$45.00,7,1,12,ACEITES Y LUBRICANTES
79567520078,LUBRICANTE WD40 9 OZ FLEXITAPA CM,$125.80,$175.00,$170.00,3,1,3,ACEITES Y LUBRICANTES
7.50E+12,LUMINARIO ADIR 18W SOBREPONER RED LED BLANCO FRIO,$54.60,$90.00,$80.00,3,2,5,ELECTRICIDAD
7.51E+12,LUMINARIO PINMARK LED 24W REDONDE SOBREPONER BALMEX 6011,$87.80,$125.00,$120.00,5,2,5,ELECTRICIDAD
7.51E+12,LUZ DE NOCHE COM LÁMPARA E12 BALÓN SOCCER VOLTECK 46133,$35.00,$60.00,$50.00,6,3,6,ELECTRICIDAD
7.51E+12,LUZ DE NOCHE CON LAMPARA E12 FLOR VOLTECK 46130,$35.00,$50.00,$48.00,6,2,6,ELECTRICIDAD
7.50E+12,Limpiavidrios Total 750ml CYL 1813149,$33.45,$48.00,$44.00,6,1,6,SEGURIDAD E HIGIENE
7.50E+12,MACHETE ESTÁNDAR 20 CACHA NARANJA TRUPER,$69.00,$90.00,$87.00,4,1,4,HERRAMIENTAS
M14,MACHO 1/4 TERMINAL P/CABLE,$0.25,$1.00,$0.50,250,100,250,ELECTRICIDAD
M18,MACHO 1/8 TERMINAL P/CABLE,$0.25,$0.50,$0.40,250,100,250,ELECTRICIDAD
878,MACHUELO 3/8,$32.40,$50.00,$45.00,2,1,3,TORNILLOS
877,MACHUELO 5/32,$19.90,$30.00,$25.00,4,2,4,TORNILLOS
M809420,MACHUELO A/CARB 3/8-16 GREENFIELD CYL 2023342,$29.80,$45.00,$40.00,15,1,5,TORNILLOS
876,MACHUELO EXTRACTOR 1/4,$21.40,$30.00,$25.00,1,1,1,TORNILLOS
881,MACHUELO KARLEM 1/8,$15.90,$25.00,$20.00,5,1,5,TORNILLOS
880,MACHUELO KARLEM 3/16,$20.20,$30.00,$0.00,4,1,4,TORNILLOS
879,MACHUELO KARLEM 7/16,$30.30,$45.00,$40.00,3,1,3,TORNILLOS
875,MACHUELO KARLEN 5/16 X 18UNC,$29.20,$50.00,$45.00,3,1,3,TORNILLOS
M684880,MACHUELO NPT A/CARB 1/4-18 GREENFIELD CYL 2023361,$52.55,$75.00,$70.00,5,1,5,TORNILLOS
7.01E+11,MAGIC JOLYFLEX PARA LAVABO CON TRAMPA METALFLU 29291,$7.00,$10.00,$9.00,4,1,2,PLOMERIA
7.50E+12,MANDRIL ZANCO 3/8 PARA BROCASIERRAS BIMETALICAS EXPERT 18122,$65.00,$95.00,$92.00,6,3,6,TORNILLOS
7.50E+12,MANDRIL ZANCO 7/16 P/ BROCASIERRAS BIMETALICAS TRUPER EXPERT 18123,$99.00,$140.00,$138.00,6,1,6,TORNILLOS
SL111A,MANERAL DE CRUZ REGADERA ONSUN SL-111-A,$117.00,$156.00,$152.00,1,2,4,PLOMERIA
7.41E+12,MANERAL Y CHAPETON PARA REGADERA IML P-MR2,$61.00,$80.00,$76.00,2,2,4,PLOMERIA
7.41E+12,MANERAL Y CHAPETON PARA REGADERA IML P-MR3,$47.00,$62.00,$60.00,2,2,4,PLOMERIA
SL111,MANERALES DE CRUZ REGADERA CHICO ONSUN SL111,$93.00,$124.00,$120.00,2,2,4,PLOMERIA
7.50E+12,MANGO 12 P/MARROS 2A4LB TRUPER 15906,$30.00,$40.00,$39.00,6,2,6,PLOMERIA
7.50E+12,MANGO ARTICULADO 1/2 X 17 TRUPER 13412,$255.00,$355.00,$350.00,6,2,6,HERRAMIENTAS
102792,MANGO DE MADERA 36 PARA ZAPAPICOS Y TALACHOS DE 4 A 7LB TRUPER 102792,$135.00,$185.00,$183.50,6,2,6,HERRAMIENTAS
7.50E+12,MANGO P/MARTILLO UÑA TRUPER 15908,$25.00,$35.00,$33.00,11,4,12,PLOMERIA
7.50E+12,MANGO P/PALA PUÑO OFFSET Y 26 TRUPER 15901,$69.00,$92.00,$90.00,6,2,6,PLOMERIA
7.51E+12,MANGO P/PALA PUÑO Y PLASTIC 24 PRETUL 20548,$49.00,$66.00,$64.00,6,2,6,PLOMERIA
974,MANGO P/ZACAPICO ANG,$49.40,$80.00,$75.00,3,3,5,HERRAMIENTAS
975,MANGO P/ZACAPICO INYECTADO ANG,$52.00,$95.00,$92.00,3,3,5,HERRAMIENTAS
976,MANGO PARA MARRO ANG,$49.40,$90.00,$85.00,2,3,5,HERRAMIENTAS
7.50E+12,MANGUERA 1/2 REFORZADA 3CAPS 10M C/CONEXIONES DE MTAL TRUPER 16030,$159.00,$215.00,$210.00,4,1,5,HERRAMIENTAS
7.50E+12,MANGUERA ALBATRO P/LAV AUTO 1.70MTS 015-14 PLO 1055,$114.03,$180.00,$175.00,3,2,3,PLOMERIA
7.50E+12,MANGUERA AZUL 1/2 3CAPS 10M C/CONEXIONES PLASTIC PRETUL 25031,$73.00,$105.00,$100.00,8,2,8,HERRAMIENTAS
15,MANGUERA AZUL FLEXIBLE 1 RM,$16.50,$30.00,$25.00,100,10,100,MANGUERAS
600,MANGUERA AZUL FLEXIBLE 1/2 X 1MTS RM,$6.85,$14.00,$12.00,88.5,100,200,MANGUERAS
599,MANGUERA AZUL FLEXIBLE 3/4 X 1MTS RM,$13.50,$20.00,$18.00,94,100,200,MANGUERAS
7.50E+12,MANGUERA C/PISTOLA DE RIEGO 15M PRETUL 25019,$110.00,$155.00,$150.00,5,1,5,HERRAMIENTAS
7.11E+11,MANGUERA COFLEX P/LAV Y FRE TIPO T ACERO 55 CM PLO,$171.52,$224.00,$220.00,3,1,3,PLOMERIA
7.11E+11,MANGUERA COFLEX P/LAV Y FREG TIPO T VINIL BLANCO 55 CM PLO,$139.60,$184.00,$180.00,3,1,3,PLOMERIA
7.50E+12,MANGUERA D/COMPRESOR RESORTE 7.6M X 1/4 PRETUL,$75.00,$100.00,$95.00,2,1,2,COMPRESORES Y ACCESORIOS PARA AIRE
7.52E+12,MANGUERA DE ALUMINIO 40 CM 1/2 1/2 SOLVEX SA-121240-3,$12.00,$16.00,$14.00,6,5,10,PLOMERIA
7.52E+12,MANGUERA DE ALUMINIO FREGADERO 55CM 1/21/2 SOLVEX SA-121255-3,$12.50,$17.00,$15.00,8,2,10,PLOMERIA
7.51E+12,MANGUERA DE ALUMINIO PARA GAS 1 M SOLVEX SAG-3838100,$38.00,$50.00,$47.00,2,1,2,PLOMERIA
7.51E+12,MANGUERA DE ALUMINIO PARA GAS 2MTS SOLVEX GRI SAG-3838200,$56.00,$73.00,$70.00,3,1,2,PLOMERIA
7.51E+12,MANGUERA DE ALUMINIO PARA GAS 3 METROS SAG-3838300,$75.00,$98.00,$96.00,2,1,2,PLOMERIA
7.52E+12,MANGUERA DE ALUMINIO PARA WC 1/27/8 35CM SOLVEX SA-127835-3,$12.50,$17.00,$15.00,10,2,10,PLOMERIA
19862,MANGUERA DE NIVEL 1/8 X 1MTS TRUPER 19862,$4.50,$7.00,$6.00,75,20,100,MANGUERAS
WC40,MANGUERA DE VINIL BLANCA P/WC 40CM 1/2 X 7/8 GREE,$27.50,$40.00,$37.00,6,2,10,PLOMERIA
7.11E+11,MANGUERA LAVADORA DESAGUE 1-1/4 PL-102 DP 1964,$78.50,$120.00,$105.00,3,1,3,PLOMERIA
7.52E+12,MANGUERA NEGRA 55CM SOLVEX SSB-121255-2,$16.00,$22.00,$20.00,10,2,10,PLOMERIA
7.50E+12,MANGUERA P/COMPRESOR PVC 10M X 1/4 TRUPER,$175.00,$235.00,$230.00,2,1,3,COMPRESORES Y ACCESORIOS PARA AIRE
7.50E+12,MANGUERA P/COMPRESOR RESORTE 15.2M TRUPER,$155.00,$210.00,$205.00,2,1,2,COMPRESORES Y ACCESORIOS PARA AIRE
981,MANGUERA P/GAS 2.5MTS ALUM RYR H79,$66.66,$100.00,$95.00,3,1,3,PLOMERIA
980,MANGUERA P/GAS 2MTS ALUM AM-FGE200 ALEAMEX H79,$39.26,$68.00,$65.00,3,1,3,PLOMERIA
7.50E+12,MANGUERA P/GAS PVC AMARILLA 3/8 FLARE 2M FOSET 45011,$75.00,$100.00,$97.00,2,1,4,PLOMERIA
7.50E+12,MANGUERA P/GAS PVC AMARILLA 3/8 FLARE 3M FOSET 45012,$85.00,$115.00,$110.00,4,1,4,PLOMERIA
7.50E+12,MANGUERA P/GAS PVC AMARILLA 3/8 S/CONEXION 50M FOSET 45015,$10.00,$15.00,$13.00,50,10,100,PLOMERIA
7.51E+12,MANGUERA P/GAS PVC NEGRA 3/8 FLARE 2M FOSET 40076,$89.00,$120.00,$117.00,3,1,4,PLOMERIA
7.51E+12,MANGUERA P/GAS PVC NEGRA 3/8 FLARE 3M FOSET 40077,$99.00,$135.00,$130.00,3,1,4,PLOMERIA
7.50E+12,MANGUERA P/JARDIN BICAPA 1/2 X 10MTS SANTUL H79 ST356604,$75.96,$110.00,$105.00,2,1,2,MANGUERAS
7.50E+12,MANGUERA P/JARDIN BICAPA 1/2 X 15MTS SANTUL H79 ST356611,$104.03,$145.00,$140.00,2,1,2,MANGUERAS
7.50E+12,MANGUERA P/JARDIN TRICAPA 1/2 X 10MRTS SANTUL H79 ST356659,$88.31,$130.00,$120.00,2,1,2,MANGUERAS
MM50,MANGUERA PARA MONOMANDO EN ACERO INOXIDABLE 50CM 1/2 X 1/4 (2 PZS) ONSUN MM50,$54.00,$78.00,$75.00,3,1,1,PLOMERIA
MQ,MANGUERA PIG TAIL P/GAS 7/16 X 7/8 55CM ONSUN MQ,$48.00,$65.00,$63.00,4,2,4,MANGUERAS
7.51E+12,MANGUERA PIGTAIL ALUM 7/16 X 7/8 55CM FOSET 49513,$85.00,$115.00,$112.00,6,2,6,PLOMERIA
7.51E+12,MANGUERA PIGTAIL VINILO 7/16 X 7/8 55CM FOSET 49512,$92.00,$123.00,$120.00,6,2,6,PLOMERIA
7.11E+11,MANGUERA PIGTALL COFLEX FLEXIBLE VINILO CON MANERAL 55 CM 1 VIA PLO,$113.44,$150.00,$145.00,3,1,3,PLOMERIA
AL40,MANGUERA REFORZADA ACERO INOX LAVABO 40CM 1/2 A 1/2 ONSUN AL40,$20.00,$28.00,$26.00,48,2,10,PLOMERIA
601,MANGUERA VERDE 1 PULG X 1MTS RM,$13.50,$25.00,$20.00,90,100,200,MANGUERAS
667,MANIJA DE BRONCE COMBINADA DER MOD 11 CN 073041150,$26.56,$40.00,$35.00,3,1,3,CANDADOS Y CERRADURAS
780,MANIJA DE BRONCE COMBINADA IZQ MOD 11 CN 073041160,$26.56,$40.00,$35.00,3,1,3,CANDADOS Y CERRADURAS
SF70061,MANIVELA D/DESCARGA SANITARIO GRIFE SF-70061,$9.80,$14.00,$12.00,5,2,5,PLOMERIA
CH8,MARRO 8 LB CH CHOLU,$385.00,$540.00,$520.00,2,1,3,HERRAMIENTAS
7.50E+12,MARRO OCTAGONAL 3 LBS MANGO 12 TRUPER,$169.00,$220.00,$217.00,4,1,4,HERRAMIENTAS
7.50E+12,MARRO OCTAGONAL 4LBS MANGO 12 TRUPER,$210.00,$273.00,$269.00,4,1,4,HERRAMIENTAS
7.50E+12,MARRO TIPO NEVADA 3 LBS MANGO 11 PRETUL,$125.00,$163.00,$160.00,4,1,4,HERRAMIENTAS
7.50E+12,MARTELINA TALACHO-PICO MANGO MADERA TRUPER,$145.00,$190.00,$187.00,3,1,4,HERRAMIENTAS
7.50E+12,MARTILLO PULIDO 16 OZ UÑA RECTA TRUPER,$89.00,$116.00,$112.00,6,3,6,HERRAMIENTAS
7.50E+12,MARTILLO PULIDO UÑA CURVA 16 OZ HICKORY TRUPER,$165.00,$215.00,$210.00,4,2,4,HERRAMIENTAS
7.51E+12,MARTILLO RECTO 16OZ MANGO TUBULAR PRETUL,$89.00,$116.00,$112.00,4,1,4,HERRAMIENTAS
7.50E+12,MARTILLO UÑA CURVA 16OZ MANGO TUBULAR TRUPER,$99.00,$130.00,$127.00,3,2,4,HERRAMIENTAS
7.50E+12,MARTILLO UÑA RECTA 16 OZ MANGO TUBULAR TRUPER,$99.00,$130.00,$127.00,4,1,4,HERRAMIENTAS
7.50E+12,MASTIQUE EN BOLSA 1KG 4952 CARNU CYL 18254122,$40.12,$54.00,$52.00,6,2,6,ADHESIVOS
7.50E+12,MATRACA 1/2 CAB/PERA PRETUL 21152,$175.00,$235.00,$230.00,6,2,6,AUTOS
7.50E+12,MATRACA 1/2 CAB/REDONDA PRETUL 21150,$95.00,$135.00,$130.00,6,2,6,AUTOS
7.50E+12,MATRACA 3/8 CAB/PERA PRETUL 21161,$155.00,$210.00,$205.00,6,2,6,AUTOS
7.50E+12,MATRACA 3/8 CAB/REDONADA PRETUL 21160,$65.00,$87.00,$84.00,6,2,6,AUTOS
7.51E+12,MAZO DE HULE 16OZ PRETUL,$62.00,$81.00,$78.00,4,1,4,HERRAMIENTAS
7.50E+12,MECHERO PARA LATA DE GAS DE 1/4 VUELTA TRUPER,$95.00,$124.00,$120.00,5,2,5,COMPRESORES Y ACCESORIOS PARA AIRE
682,MENSULA C/SOPORTE BLANCO #5 CN 073040110,$16.75,$25.00,$23.00,12,2,12,CASA Y JARDIN
681,MENSULA C/SOPORTE NEGRO #5 CN 073040130,$16.75,$25.00,$23.00,8,4,12,CASA Y JARDIN
7.50E+12,MENSULA DE ACERO BLANCA 5X6 FIERO 44003,$7.00,$12.00,$10.00,20,2,24,HERRAMIENTAS
683,MENSULA S/SOPORTE BLANCA 12 X 14 CN 073040198,$21.38,$35.00,$30.00,10,2,12,CASA Y JARDIN
7.11E+11,MENSULAS SENCILLAS PARA LAVABO CON TAQUETES COFLEX PL-B201,$25.00,$33.00,$30.00,1,1,2,PLOMERIA
8840,MEZCLADORA FREGADERO CUBIERTA LATON GYM,$270.00,$395.00,$390.00,2,1,3,PLOMERIA
7.51E+12,MEZCLADORA LAVABO C7MANERAL 46QC URREA DIPLO,"$1,109.00","$1,380.00","$1,350.00",1,1,3,PLOMERIA
7.52E+12,MEZCLADORA P/FREGADERO 8 CUELLO FLEX SOLVEX SP-80009,$298.00,$435.00,$430.00,1,2,4,PLOMERIA
7.52E+12,MEZCLADORA P/FREGADERO 8 SOLVEX SP-80008,$238.00,$345.00,$335.00,2,2,4,PLOMERIA
7.52E+12,MEZCLADORA P/FREGADERO 8 SOLVEX SP-80042-2,$165.00,$240.00,$230.00,2,2,4,PLOMERIA
7.52E+12,MEZCLADORA P/FREGADERO 8 SOLVEX SP-80061,$268.00,$390.00,$385.00,3,2,4,PLOMERIA
7.52E+12,MEZCLADORA P/FREGADERO 8 SOLVEX SP-80062,$288.00,$415.00,$410.00,2,2,4,PLOMERIA
7.52E+12,MEZCLADORA P/FREGADERO 8 SOLVEX SP-80090,$230.00,$300.00,$295.00,1,2,4,PLOMERIA
7.52E+12,MEZCLADORA P/FREGADERO SOLVEX SP-80003-1,$266.00,$390.00,$380.00,2,2,3,PLOMERIA
7.52E+12,MEZCLADORA P/FREGADERO SOLVEX SP-80006,$148.00,$215.00,$210.00,2,2,3,PLOMERIA
7.52E+12,MEZCLADORA P/LAVABO 4 CROMADO SOLVEX SP-40081,$198.00,$265.00,$260.00,2,2,4,PLOMERIA
7.52E+12,MEZCLADORA P/LAVABO 4 PULG SP-40003-1 GYM,$240.00,$350.00,$340.00,2,1,3,PLOMERIA
7.52E+12,MEZCLADORA P/LAVABO 4 PULG SP-40008 GYM,$208.00,$305.00,$300.00,2,1,3,PLOMERIA
7.52E+12,MEZCLADORA P/LAVABO 4 SOLVEX SP-40001-2,$135.00,$180.00,$175.00,1,2,4,PLOMERIA
7.52E+12,MEZCLADORA P/LAVABO 4 SOLVEX SP-40025,$230.00,$305.00,$300.00,1,2,4,PLOMERIA
7.52E+12,MEZCLADORA P/LAVABO 4 SOLVEX SP-40063,$128.00,$170.00,$165.00,1,2,4,PLOMERIA
7.52E+12,MEZCLADORA P/LAVABO 4 SOLVEX SP-40074,$240.00,$320.00,$315.00,1,2,4,PLOMERIA
7.52E+12,MEZCLADORA P/LAVABO 4 SOLVEZ SP-40016,$248.00,$325.00,$320.00,1,2,4,PLOMERIA
9720,MEZCLADORA P/LAVABO CUERPO DE BRONCE GYM,$301.00,$440.00,$435.00,2,1,3,PLOMERIA
7.51E+12,MEZCLADORA PARA LAV METAL AMUER H79 243406,$215.06,$315.00,$300.00,2,1,2,PLOMERIA
7.50E+12,MINI ARCO 12 DE PLASTICO P/ SEGUETA PRETUL 20002,$39.00,$68.00,$63.00,6,2,6,HERRAMIENTAS
7.50E+12,MINI BOMBA NATURAL P/BICI 60 PSI TRUPER 13790,$99.00,$133.00,$130.00,6,2,6,AUTOS
7.50E+12,MINI FELPA ACRILICO 2 PUL 2 PZ GREE,$21.00,$30.00,$28.00,4,2,4,PINTURAS
